náměstí Na kopci
Alej Karoliny Světlé
nám. Bedřicha Smetany
Řídícího učitele Škody
Řídícího učitele Havla
J. A. Komenského
K. H. Borovského
Jiřího z Poděbrad
náměstí 1. máje
U Jánského kamene
U Křížového kostela
nám. Českých bratří
Dr. Milady Horákové
nám. Pod Branou
U Zoologické zahrady
K Černé Nise
V Brusičské dolině
U Černého dolu
U Obchodní komory
U Zlatého potoka
nám. Na Lukách
Cyrila a Metoděje
U Slunečních lázní
Pod Sadem míru
Pod Dračím kamenem
U Lesního divadla
U Kulturního domu
U Tří studní
Slovenského národního povstání
K Mojžíšovu prameni
náměstí Svatopluka Čecha
náměstí 5. května
Jiřího z Poděbrad
S. K. Neumanna
Alej 17. listopadu
Na Krásných Horách
Náměstí 28. října
Park Josefa Hory
Dolní vodní brána
Horní vodní brána
Polské lidové armády
Jiřího z Poděbrad
náměstí Československé armády
Beneše z Loun
Karla Stanislava Sokola
Náměstí Benedikta Rejta
Slovenského národního povstání
St. K. Neumanna
Nám. Konstantina Biebla
Park Letců RAF
PhDr. Bořivoje Lůžka
U Matky Boží
Vavřince z Březové
nám. E. Filly
Cyrila a Metoděje
Karla Havlíčka Borovského
Boženy Vikové Kunětické
Dr. Václava Kůrky
J. K. Tyla
Jana ze Žatce
Karla Hynka Máchy
nám. Prokopa Malého
náměstí 28. října
nám. Prokopa Velkého
náměstí 5. května
třída Obránců míru
nám. Pod Martinem
T. G. Masaryka
U Starého mostu
Na Turské louce
Na Velvarské silnici
nábřeží J. Rysa
nám. J. Seiferta
S. K. Neumanna
U Sociálního domu
V Růžovém údolí
Dr. E. Beneše
Ve Starém Lobečku
nám. V. Levého
Jiřího z Poděbrad
sady Na Polabí
Na Malém Spořilově
Na Staré cestě
Nad Kamennými závorami
nám. Gen. Swierczewského
náměstí B. Němcové
náměstí Karla IV.
Vinohrady Karla IV.
J. K. Tyla
J. Š. Baara
K. H. Máchy
Dr. E. Beneše
nám. A. Dvořáka
Jiřího z Poděbrad
T. G. Masaryka
U Krupské silnice
Nad Kuřívodskou Silnicí
V Čisteckém dole
Za Rybníkem Slon
Jana z Dražic
náměstí 17. listopadu
U Starého hřiště
J. F. Pachty
U Mateřské školy
Bojovníků za svobodu
J. V. Sládka
S. K. Neumanna
tř. Václava Klementa
S. K. Neumanna
Za Zámeckou zdí
J. F. Pachty
nám. 1. máje
Důl Pavel II
K. H. Borovského
S. K. Neumanna
Tyrše a Fügnera
U Bílého sloupu
U Zámeckého parku
Karla Hynka Máchy
Stanislava Kostky Neumanna
J. A. Komenského
nám. 8. května
Alej Boženy Němcové
F. L. Čelakovského
J. A. Komenského
J. E. Purkyně
J. Š. Baara
J. V. Sládka
K. H. Borovského
K. H. Máchy
K. J. Erbena
M. G. Dobnera
M. J. Husa
Na Novém světě
Pod Koňským vrchem
Pod Širokým vrchem
Pod Těžní věží
Jiřího z Poděbrad
S. K. Neumanna
